group,team,seed_pot
A,Mexico,1
A,South Africa,3
A,Korea Republic,2
A,Czechia,4
B,Canada,1
B,Switzerland,2
B,Qatar,4
B,Bosnia and Herzegovina,3
C,Brazil,1
C,Morocco,2
C,Haiti,4
C,Scotland,3
D,USA,1
D,Paraguay,2
D,Australia,3
D,Turkey,4
E,Germany,1
E,Curaçao,4
E,Côte d'Ivoire,3
E,Ecuador,2
F,Netherlands,1
F,Japan,2
F,Tunisia,3
F,Sweden,4
G,Belgium,1
G,Egypt,2
G,Iran,3
G,New Zealand,4
H,Spain,1
H,Cabo Verde,4
H,Saudi Arabia,3
H,Uruguay,2
I,France,1
I,Senegal,2
I,Norway,3
I,Iraq,4
J,Argentina,1
J,Algeria,3
J,Austria,2
J,Jordan,4
K,Portugal,1
K,Uzbekistan,3
K,Colombia,2
K,DR Congo,4
L,England,1
L,Croatia,2
L,Ghana,3
L,Panama,4
